YEAR,MO,DY,T2M_MAX,WS10M,WS50M
2003,1,31,6.1,9.84,13.05
2003,2,1,5.06,3.82,5.05
2003,2,2,12.03,1.95,2.66
2003,2,3,16.15,1.37,1.8
2003,2,4,16.23,4.83,7.34
2003,2,5,16.5,3.83,6.2
2003,2,6,12.26,3.76,4.91
2003,2,7,14.03,5.57,7.95
2003,2,8,11.26,5.59,7.41
2003,2,9,9.05,3.95,5.62
2003,2,10,12.31,4.05,5.55
2003,2,11,14.65,3.02,4.07
2003,2,12,16.86,4.36,6.59
2003,2,13,15.29,5.49,7.23
2003,2,14,10.42,2.38,3.27
2003,2,15,5.44,3.58,4.77
2003,2,16,4.17,8.37,10.45
2003,2,17,7.43,5.43,7.7
2003,2,18,13.69,3.52,4.86
2003,2,19,13.16,4.56,7.13
2003,2,20,12.86,3.77,5.56
2003,2,21,15.98,4.48,6.61
2003,2,22,17.8,3.12,5.06
2003,2,23,18.78,5.5,8.5
2003,2,24,15.85,7.63,10.41
2003,2,25,14.32,7.2,9.87
2003,2,26,15.29,3.79,5.34
2003,2,27,10.51,9.32,12.33
2003,2,28,12.76,7.45,9.84
2003,3,1,18.26,1.88,2.7
2003,3,2,20.2,2.04,2.96
2003,3,3,20.37,4.62,6.76
2003,3,4,20.38,2.71,4.05
2003,3,5,22.0,3.36,4.54
2003,3,6,21.6,2.56,3.68
2003,3,7,22.32,2.9,4.34
2003,3,8,21.97,3.61,4.96
2003,3,9,18.37,2.42,3.41
2003,3,10,20.19,2.55,4.09
2003,3,11,20.9,3.82,5.88
2003,3,12,18.49,4.7,7.3
2003,3,13,19.26,5.47,8.2
2003,3,14,21.41,3.24,4.77
2003,3,15,22.76,3.23,4.85
2003,3,16,21.98,4.1,6.16
2003,3,17,12.75,8.64,10.95
2003,3,18,16.12,4.13,5.44
2003,3,19,14.44,3.14,4.31
2003,3,20,16.87,5.67,7.71
2003,3,21,14.54,7.94,10.24
2003,3,22,13.97,7.73,9.69
2003,3,23,14.02,5.49,6.86
2003,3,24,16.23,2.85,4.09
2003,3,25,17.09,3.81,5.87
2003,3,26,16.94,4.79,7.28
2003,3,27,14.48,6.08,9.07
2003,3,28,18.81,2.66,4.19
2003,3,29,23.37,3.55,5.11
2003,3,30,23.75,3.95,5.49
2003,3,31,22.88,4.77,6.45
2003,4,1,20.39,3.13,4.74
2003,4,2,18.05,4.97,6.79
2003,4,3,15.58,8.71,11.35
2003,4,4,14.65,3.42,5.05
2003,4,5,19.63,3.99,5.53
2003,4,6,20.14,2.95,4.34
2003,4,7,22.44,4.68,6.77
2003,4,8,22.15,6.59,9.83
2003,4,9,21.15,5.73,7.73
2003,4,10,19.23,4.66,6.09
2003,4,11,23.18,4.13,5.55
2003,4,12,25.97,4.65,6.79
2003,4,13,25.83,8.41,12.0
2003,4,14,15.17,8.16,9.34
2003,4,15,12.31,7.51,9.19
2003,4,16,15.38,7.39,9.23
2003,4,17,20.07,3.53,4.37
2003,4,18,23.03,4.66,6.73
